user_id,group,day,session,block_id,abs_accuracy,abs_resptime,abs_focus,abs_anxiety,rela_0_accuracy,rela_0_resptime,rela_1_accuracy,rela_1_resptime,rela_focus,rela_anxiety
15.0,none,d2,formal,5,0.88333333,5.24580241,7.0,1.0,,,-0.0862069,0.10684976,0.0,0.0
18.0,none,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
18.0,none,d1,formal,1,0.96666667,5.13969901,4.5,4.0,,,0.0,0.0,0.0,0.0
18.0,none,d1,formal,2,1.0,5.37668244,4.5,5.0,,,0.03448276,0.04610843,0.0,1.0
18.0,none,d1,formal,3,0.98333333,4.99068743,3.0,5.0,,,0.01724137,-0.02899228,-1.5,1.0
18.0,none,d1,formal,4,0.98333333,5.39237566,2.5,5.5,,,0.01724137,0.04916176,-2.0,1.5
18.0,none,d1,formal,5,0.98333333,5.27785338,2.0,6.0,,,0.01724137,0.02687986,-2.5,2.0
18.0,none,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
18.0,none,d2,formal,1,0.95,4.32525023,6.5,1.0,,,0.0,0.0,0.0,0.0
18.0,none,d2,formal,2,0.96666667,4.4799795,5.5,2.5,,,0.01754386,0.03577348,-1.0,1.5
18.0,none,d2,formal,3,1.0,4.77638426,5.0,3.0,,,0.05263158,0.10430241,-1.5,2.0
18.0,none,d2,formal,4,0.98333333,4.40314534,5.0,3.5,,,0.03508772,0.01800939,-1.5,2.5
18.0,none,d2,formal,5,0.96666667,4.80470616,5.0,5.0,,,0.01754386,0.11085045,-1.5,4.0
21.0,none,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
21.0,none,d1,formal,1,1.0,8.02830014,5.0,1.5,,,0.0,0.0,0.0,0.0
21.0,none,d1,formal,2,0.96610169,7.81551601,4.0,1.0,,,-0.03389831,-0.02650426,-1.0,-0.5
21.0,none,d1,formal,3,1.0,7.30012317,3.5,1.0,,,0.0,-0.09070126,-1.5,-0.5
21.0,none,d1,formal,4,0.96666667,7.02516128,3.0,1.5,,,-0.03333333,-0.12495034,-2.0,0.0
21.0,none,d1,formal,5,0.91525424,6.52266685,3.0,1.50847458,,,-0.08474576,-0.18754073,-2.0,0.00847458
21.0,none,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
21.0,none,d2,formal,1,0.98333333,7.40422545,4.0,1.0,,,0.0,0.0,0.0,0.0
21.0,none,d2,formal,2,0.98333333,6.89048822,4.0,1.0,,,0.0,-0.06938433,0.0,0.0
21.0,none,d2,formal,3,0.95,6.42957702,4.0,1.0,,,-0.0338983,-0.13163408,0.0,0.0
21.0,none,d2,formal,4,0.98333333,7.07882263,4.0,1.0,,,0.0,-0.04394826,0.0,0.0
21.0,none,d2,formal,5,0.98333333,6.29498854,3.0,1.0,,,0.0,-0.14981134,-1.0,0.0
34.0,static,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
34.0,static,d1,formal,1,0.89830508,4.9360255,7.0,7.0,,,0.0,0.0,0.0,0.0
34.0,static,d1,formal,2,0.95,4.96758765,5.0,6.5,,,0.05754718,0.00639424,-2.0,-0.5
34.0,static,d1,formal,3,0.95,4.90468241,5.0,6.0,,,0.05754718,-0.00634986,-2.0,-1.0
34.0,static,d1,formal,4,0.91666667,4.95608814,2.5,6.0,,,0.02044026,0.00406453,-4.5,-1.0
34.0,static,d1,formal,5,0.93333333,4.67690113,1.5,5.0,,,0.03899371,-0.05249656,-5.5,-2.0
34.0,static,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
34.0,static,d2,formal,1,1.0,4.64008787,6.49152542,7.0,,,0.0,0.0,0.0,0.0
34.0,static,d2,formal,2,0.93333333,4.73719309,5.0,6.0,,,-0.06666667,0.02092745,-1.49152542,-1.0
34.0,static,d2,formal,3,0.96666667,4.50605629,6.0,6.5,,,-0.03333333,-0.02888557,-0.49152542,-0.5
34.0,static,d2,formal,4,0.96666667,4.62269178,4.5,5.0,,,-0.03333333,-0.00374909,-1.99152542,-2.0
34.0,static,d2,formal,5,0.98333333,4.39150984,4.5,4.5,,,-0.01666667,-0.05357184,-1.99152542,-2.5
40.0,static,d1,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
40.0,static,d1,formal,1,0.91525424,6.92207092,7.0,1.0,,,0.0,0.0,0.0,0.0
40.0,static,d1,formal,2,1.0,6.62583132,7.0,3.0,,,0.09259259,-0.04279638,0.0,2.0
40.0,static,d1,formal,3,0.88333333,6.93914299,5.0,3.0,,,-0.03487655,0.00246632,-2.0,2.0
40.0,static,d1,formal,4,0.93220339,7.08712177,5.0,4.0,,,0.01851852,0.02384414,-2.0,3.0
40.0,static,d1,formal,5,0.86666667,6.68230359,5.0,5.0,,,-0.05308642,-0.03463809,-2.0,4.0
40.0,static,d2,calib,0,,,-1,-1,-1,-1,-1,-1,-1,-1
40.0,static,d2,formal,1,0.94827586,7.64499689,7.0,1.0,,,0.0,0.0,0.0,0.0
40.0,static,d2,formal,2,0.95,7.39000221,7.0,2.0,,,0.00181818,-0.03335445,0.0,1.0
